iter	Passed	Remaining
0	153	153330
1	154	77144
2	155	51708
3	156	38968
4	157	31330
5	158	26238
6	159	22604
7	161	20067
8	162	17930
9	163	16213
10	164	14814
11	165	13651
12	166	12672
13	168	11832
14	169	11104
15	170	10466
16	171	9907
17	172	9408
18	173	8960
19	175	8616
20	177	8252
21	178	7920
22	179	7622
23	180	7348
24	182	7105
25	183	6874
26	184	6655
27	186	6457
28	187	6266
29	188	6086
30	190	5960
31	191	5801
32	193	5659
33	194	5530
34	196	5404
35	197	5287
36	199	5179
37	200	5074
38	201	4972
39	204	4907
40	206	4822
41	207	4731
42	208	4646
43	210	4563
44	211	4487
45	212	4412
46	214	4339
47	215	4270
48	216	4204
49	218	4150
50	219	4088
51	220	4027
52	222	3968
53	223	3912
54	224	3858
55	225	3805
56	226	3752
57	227	3702
58	229	3655
59	230	3609
60	231	3568
61	233	3526
62	234	3484
63	235	3442
64	236	3401
65	237	3365
66	239	3331
67	240	3292
68	241	3254
69	242	3220
70	246	3221
71	247	3189
72	248	3155
73	249	3123
74	250	3091
75	252	3067
76	253	3039
77	254	3009
78	255	2981
79	256	2953
80	257	2924
81	261	2927
82	262	2896
83	263	2870
84	264	2845
85	265	2821
86	266	2798
87	267	2776
88	269	2753
89	270	2730
90	271	2708
91	272	2686
92	276	2692
93	277	2671
94	278	2652
95	279	2631
96	280	2611
97	281	2593
98	282	2574
99	283	2554
100	284	2535
101	285	2516
102	286	2499
103	290	2498
104	291	2482
105	292	2466
106	293	2450
107	294	2435
108	295	2419
109	297	2403
110	298	2387
111	299	2371
112	300	2355
113	301	2341
114	302	2326
115	305	2329
116	306	2313
117	307	2300
118	308	2286
119	309	2272
120	311	2260
121	312	2245
122	313	2232
123	314	2219
124	315	2208
125	316	2196
126	317	2182
127	320	2183
128	321	2172
129	322	2160
130	323	2148
131	324	2136
132	326	2127
133	327	2115
134	328	2103
135	329	2091
136	330	2079
137	331	2068
138	332	2057
139	336	2064
140	337	2055
141	338	2043
142	339	2032
143	340	2022
144	341	2012
145	342	2004
146	343	1995
147	344	1985
148	345	1975
149	346	1965
150	349	1967
151	351	1959
152	352	1949
153	353	1941
154	354	1932
155	355	1923
156	356	1914
157	357	1906
158	358	1897
159	359	1888
160	360	1878
161	361	1869
162	363	1864
163	364	1860
164	365	1851
165	366	1843
166	368	1835
167	369	1827
168	370	1819
169	371	1811
170	372	1804
171	373	1797
172	374	1789
173	375	1781
174	376	1774
175	379	1774
